SMILES,IC50
COC1=C(C=C(C=C1)C(C=C)C=CC2=CC=C(C=C2)O)O,12
COC1=C(C=C2C(=C1)C3=C(CN4CCCC4C3)C5=CC(=C(C=C52)OC)OC)OC,12
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C(=O)O)C)C,12.04291658
CCCCCCC=CCCCCCCCCCC1(CC(C(=O)C=C1)O)O,12.06801975
CC12CCC3(C1)C(CC(C4C3(CCCC4(C)C(=O)O)C)OC(=O)C5=CC=CC=C5)CC2=O,12.08390333
CC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)OC)C4=CC=C(C=C4)O)O)O)O)O,12.09677419
CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OCC)O,12.09677419
COC1=CC(=CC(=C1OC)OC)C=C2C(COC2=O)CC3=CC4=C(C=C3)OCO4,12.1
COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)OC)OC)OC)OC,12.1
CCC12CC(=C3C4(C1N(CC4)CC=C2)C5=CC=CC=C5N3)C(=O)OC,12.1
CC(C)C(=O)C12C(=O)C(=C(C(C1=O)(CC(C2(C)CCC=C(C)C)CC=C(C)C)CC=C(C)C)O)CC=C(C)C,12.10879285
COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(=O)C4=CC5=C(C=C24)OCO5,12.12415131
CC(=CCC1CC23CC(C(OC2=C(C(=O)C(C3=O)(C1(C)C)CC=C(C)C)C(=O)C4=CC(=C(C=C4)O)O)C=C(C)C)C(=C)C)C,12.15046605
CCCCCCCCCCCCCC=C1C(C(=C)OC1=O)O,12.15559157
CC(=CCC1=C(C2=C(C3=C1OC(C=C3)(C)C)OC4=C(C2=O)C=CC=C4O)O)C,12.1564482
CC1(CCC2=C(O1)C(=CC3=C2C4C(CO3)C5=CC6=C(C=C5O4)OCO6)O)C,12.2
CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,12.25323349
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)O)O)O)O)C)C)C2C1)C)C(=O)O)C,12.29193342
CC(C)C1(CCC2C(=C1)C(CC3C2(CCCC3(C)COC(=O)C)C)OC(=O)C)O,12.29709788
COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O,12.3
CC(=CCC1=C(C=C(C(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)O)C,12.3
CC1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C(=C3C2=O)C4=C5C(=C(C=C4O)O)C(=O)C6=C(C5=O)C=C(C=C6O)C)O)O,12.3
CC1=C2C(C(C3(C(CC4C(C3C(C2(CC1O)C(C)(C)O)OC(=O)C)(CO4)OC(=O)C)OC(=O)C)C)O)OC(=O)C,12.31093915
CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)O)C)C)C)OC1,12.33
CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,12.33045623
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,12.34
